year,album title,album id
1963,With the Beatles,29389
1963,Please Please Me,27343
1963,The Beatles' Hits (EP),304935
1963,No. 1,200347
1963,The Beatles (No. 1) EP,304936
1963,Twist and Shout (EP),304933
1964,All My Loving (EP),190412
1964,Les Beatles,224326
1964,Meet the Beatles!,124077
1964,Four by the Beatles (EP),304938
1964,Souvenir of Their Visit to America (EP),304937
1964,Ain't She Sweet,630724
1964,Beatles '65,191259
1964,Requests (EP),304939
1964,Twist and Shout,174119
1964,Long Tall Sally (EP),29441
1964,Extracts From the Film 'A Hard Day's Night',260627
1964,The Beatles Again!!!,304940
1964,Introducing... The Beatles,263465
1964,The Beatles' Second Album,224204
1964,A Hard Day's Night (UK),27184
1964,A Hard Day's Night (US),603142
1964,The Beatles' Long Tall Sally,167878
1964,Beatles for Sale,21431
1964,Extracts from the Album A Hard Day's Night (EP),304941
1964,Something New,128113
1965,Help! (US),603065
1965,4 By The Beatles,371169
1965,Rubber Soul (US),603055
1965,Help! (UK),22530
1965,The Beatles' Million Sellers (EP),304943
1965,Rubber Soul (UK),12347
1965,Beatles For Sale (EP),603146
1965,"Beatles for Sale, No. 2 (EP)",268710
1965,The Savage Young Beatles,372059
1965,Beatles VI,123920
1965,The Early Beatles,369586
1966,Drive My Car (EP),191115
1966,Yesterday (EP),304738
1966,Revolver (UK),17342
1966,Revolver (US),603054
1966,Yesterday and Today,304727
1966,Nowhere Man (EP),219709
1967,Sgt. Pepper's Lonely Hearts Club Band,11039
1967,Strawberry Fields Forever / Penny Lane (EP),583477
1967,Magical Mystery Tour (UK),603039
1967,Magical Mystery Tour (US),12416
1968,The Beatles (The White Album),16366
1969,Yellow Submarine,29391
1969,Very Together,660754
1969,Abbey Road,12411
1970,The Beatles' Christmas Album,159510
1970,Let It Be,29393
1970,Hey Jude,30841
1973,1962-1966 (The Red Album),159076
1973,1967-1970 (The Blue Album),159075
1974,Now Again!,710251
1976,Rock 'n' Roll Music,289393
1977,The Beatles at the Hollywood Bowl,370035
1977,"Live! at the Star-Club in Hamburg, Germany; 1962",304728
1977,Love Songs,304729
1978,Rarities,137961
1979,First Live Recordings Volume One,663981
1980,The Beatles Ballads,600723
1981,The Beatles (EP),707120
1982,Reel Music,503548
1982,20 Greatest Hits,369914
1988,Past Masters * Volume Two,43479
1988,Past Masters * Volume One,43469
1994,Live At The BBC. Disk 1,43490
1994,Live At The BBC. Disk 2,43505
1995,Free As A Bird (EP),707019
1995,Anthology 1,43538
1995,Baby It's You (EP),694274
1996,Real Love (EP),709213
1996,Anthology 2,43548
1996,Anthology 3,43560
1999,Yellow Submarine Songtrack,159402
2000,1,37726
2003,Let It Be... Naked,146805
2006,Love,148545
2008,Complete Rooftop Concert (Unofficial),664928
2009,The Beatles (The Original Studio Recordings) Boxset,612459
2011,Anthology Highlights,304732
2012,Tomorrow Never Knows,304733
2013,The Beatles Bootleg Recordings 1963,304736
2013,I Saw Her Standing There,304735
2013,On Air - Live At The BBC Volume 2,543994
2014,The U.S. Albums,585660
2014,The Japan Box,603335
2016,Live at the Hollywood Bowl,443988
2017,The Beatles Christmas Record Box,709218
2017,Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),348100
2018,The Beatles (White Album) [Super Deluxe],477771
2019,The Singles Collection,578291
2019,Abbey Road (Super Deluxe Edition),552089
2020,The Beatles - Meditation Mix,716622
2020,The Beatles - Study Songs Vol. 2,714138
2020,"The Beatles for Kids - Morning, Afternoon & Night",701046
2020,The Beatles - Spooky Songs,694747
2020,The Beatles - At Home with the Beatles,718528
2020,Got to Get You Into My Life,705639
2020,The Beatles - Study Songs Vol. 1,714144
2021,The Beatles - Getting Better All the Time,718520
N/A,It's Okay To Leave A Dog In A Hot Car / Interviews,696162
