album title,song title,song id,year
N/A,"""Abbey Road"" side two",4065390,N/A
Now Again!,#9 Dream,318484,1974
The Beatles (White Album) [Super Deluxe],(You're So Square) Baby I Don't Care (Studio Jam),4078632,2018
N/A,(You're So Square) Baby I Don't Care (Studio Jam),4078632,N/A
N/A,12-Bar Original,4100821,N/A
Anthology 2,"12-Bar Original (Take 2, Edited)",5373598,1996
N/A,"12-Bar Original (Take 2, Edited)",5373598,N/A
Live At The BBC. Disk 2,1822!,210353,1994
N/A,1822!,210353,N/A
N/A,333q33,6113177,N/A
Anthology 3,A Beginning,3139792,1996
N/A,A Beginning,3139792,N/A
N/A,A Beginning (Take 4) / Don't Pass Me By (Take 7),4078608,N/A
The Beatles (White Album) [Super Deluxe],A Beginning (Take 4) / Don't Pass Me By (Take 7),4078608,2018
Anthology 2,"A Day In the Life (Takes 1, 2, 6 and Orchestra)",5373534,1996
N/A,A Day in the Life,1436,N/A
Sgt. Pepper's Lonely Hearts Club Band,A Day in the Life,1436,1967
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life,1436,2017
1967-1970 (The Blue Album),A Day in the Life,1436,1973
The Beatles (The Original Studio Recordings) Boxset,A Day in the Life,1436,2009
N/A,A Day in the Life (2017 Remix),5307830,N/A
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life (2017 Remix),5307830,2017
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),"A Day in the Life (Hummed Last Chord) (Takes 8, 9, 10 and 11)",5307906,2017
N/A,A Day in the Life (LOVE Version),5169228,N/A
Love,A Day in the Life (LOVE Version),5169228,2006
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life (Orchestra Overdub),5307905,2017
N/A,A Day in the Life (Orchestra Overdub),5307905,N/A
N/A,A Day in the Life (Take 1 with Hums),3112274,N/A
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life (Take 1 with Hums),3112274,2017
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life (Take 2),5307904,2017
N/A,A Day in the Life (Take 2),5307904,N/A
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life (The Last Chord),5307907,2017
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),A Day in the Life (Unreleased First Mono Mix),5307926,2017
A Hard Day's Night (US),A Hard Day's Night,118166,1964
The Beatles Again!!!,A Hard Day's Night,118166,1964
1962-1966 (The Red Album),A Hard Day's Night,118166,1973
1,A Hard Day's Night,118166,2000
The Beatles (The Original Studio Recordings) Boxset,A Hard Day's Night,118166,2009
A Hard Day's Night (UK),A Hard Day's Night,118166,1964
N/A,A Hard Day's Night,118166,N/A
Reel Music,A Hard Day's Night,118166,1982
20 Greatest Hits,A Hard Day's Night,118166,1982
The Singles Collection,A Hard Day's Night,118166,2019
Anthology 1,A Hard Day's Night,118166,1995
The U.S. Albums,A Hard Day's Night,118166,2014
A Hard Day's Night (US),A Hard Day's Night (Instrumental),5093040,1964
The U.S. Albums,A Hard Day's Night (Instrumental),5093040,2014
The U.S. Albums,A Hard Day's Night (Spoken Word),5093084,2014
N/A,A Hard Day's Night [Live at the BBC Disk 2],5402923,N/A
Live At The BBC. Disk 2,A Hard Day's Night [Live at the BBC Disk 2],5402923,1994
Live at the Hollywood Bowl,A Hard Day's Night [Live at the Hollywood Bowl],5376400,2016
The Beatles at the Hollywood Bowl,A Hard Day's Night [Live at the Hollywood Bowl],5376400,1977
N/A,A Hard Day's Night [Live at the Hollywood Bowl],5376400,N/A
N/A,A Little Rhyme,210315,N/A
Live At The BBC. Disk 1,"A Little Rhyme (Live at the BBC for ""Pop Go The Beatles"" / 16th July, 1963)",5373397,1994
N/A,"A Little Rhyme (Live at the BBC for ""Pop Go The Beatles"" / 16th July, 1963)",5373397,N/A
N/A,A Picture Of You,1300039,N/A
On Air - Live At The BBC Volume 2,A Real Treat,4696347,2013
N/A,A Shot Of Rhythm And Blues,210303,N/A
Live At The BBC. Disk 1,"A Shot of Rhythm and Blues (Live at the BBC for ""Pop Go The Beatles"" / 27th August, 1963)",5373377,1994
N/A,"A Shot of Rhythm and Blues (Live at the BBC for ""Pop Go The Beatles"" / 27th August, 1963)",5373377,N/A
N/A,A Taste Of Honey (Live in Germany),4817118,N/A
"Live! at the Star-Club in Hamburg, Germany; 1962",A Taste Of Honey (Live in Germany),4817118,1977
First Live Recordings Volume One,A Taste Of Honey (Live),5834872,1979
N/A,A Taste Of Honey (Live),5834872,N/A
Twist and Shout (EP),A Taste of Honey,117722,1963
The Japan Box,A Taste of Honey,117722,2014
The Beatles (The Original Studio Recordings) Boxset,A Taste of Honey,117722,2009
Please Please Me,A Taste of Honey,117722,1963
The Early Beatles,A Taste of Honey,117722,1965
The U.S. Albums,A Taste of Honey,117722,2014
N/A,A Taste of Honey,117722,N/A
Introducing... The Beatles,A Taste of Honey,117722,1964
Souvenir of Their Visit to America (EP),A Taste of Honey,117722,1964
Twist and Shout,A Taste of Honey,117722,1964
The Beatles Bootleg Recordings 1963,"A Taste of Honey (Live at the BBC for ""Easy Beat"" / 23rd June, 1963)",5343713,2013
N/A,"A Taste of Honey (Live at the BBC for ""Pop Go The Beatles"" / 23rd July, 1963)",5373404,N/A
Live At The BBC. Disk 1,"A Taste of Honey (Live at the BBC for ""Pop Go The Beatles"" / 23rd July, 1963)",5373404,1994
