year,album title,album id
1962,Bob Dylan,26515
1963,The Freewheelin' Bob Dylan,17327
1964,The Times They Are A-Changin',28249
1964,Another Side of Bob Dylan,25519
1965,Bringing It All Back Home,17399
1965,Highway 61 Revisited,13573
1966,Blonde on Blonde,26024
1967,John Wesley Harding,24337
1967,Bob Dylan's Greatest Hits,539539
1969,Nashville Skyline,41270
1970,Self Portrait,41283
1970,New Morning,41288
1971,Bob Dylan's Greatest Hits Vol. II ,539529
1973,Dylan (1973),41756
1973,Pat Garrett & Billy the Kid,41298
1974,Planet Waves,41305
1975,Blood on the Tracks,22806
1976,Desire,41324
1976,Hard Rain,41332
1978,Street-Legal,35120
1979,Bob Dylan at Budokan,41368
1979,Slow Train Coming,25963
1980,Saved,26064
1981,Shot of Love,25996
1983,Infidels,41378
1984,Real Live,41380
1985,Biograph,511426
1985,Empire Burlesque,25962
1986,Knocked Out Loaded,25964
1988,Down in the Groove,41518
1989,Oh Mercy,41526
1990,Under the Red Sky,41531
1991,The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,41539
1992,Good as I Been to You,41570
1993,World Gone Wrong,41578
1995,MTV Unplugged,41643
1997,Time Out of Mind,18656
1998,"The Bootleg Series Vol. 4: Bob Dylan Live 1966, The ""Royal Albert Hall"" Concert",41657
2000,The Essential Bob Dylan,573929
2001,Love and Theft,25956
2002,"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",41722
2004,"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",41728
2005,The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,41739
2005,Live at the Gaslight 1962,140466
2006,Modern Times,41719
2008,The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,41748
2009,Christmas in the Heart,41757
2009,Together Through Life,41758
2010,"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",41763
2011,Bob Dylan In Concert: Brandeis University 1963 ,41793
2012,Tempest,19788
2013,The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),646883
2015,Shadows in the Night,118735
2015,The Bootleg Series Vol. 12: The Cutting Edge 1965-1966,160888
2016,The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition),161171
2016,Fallen Angels,148565
2017,The Bootleg Series Vol. 13: Trouble No More 1979-1981,398101
2017,Triplicate,328059
2018,"The Bootleg Series Vol. 14: More Blood, More Tracks",466127
2019,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler),648356
2019,"The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969",646838
2020,Rough and Rowdy Ways,633233
