album title,song title,song id,year
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,'Cross the Green Mountain,1006242,2008
N/A,'Cross the Green Mountain,1006242,N/A
Under the Red Sky,"10,000 Men",200681,1990
N/A,"10,000 Men",200681,N/A
N/A,2 X 2,200682,N/A
Under the Red Sky,2 X 2,200682,1990
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,32-20 Blues,1686914,2008
N/A,32-20 Blues,1686914,N/A
N/A,4th Time Around,105774,N/A
Blonde on Blonde,4th Time Around,105774,1966
N/A,900 Miles from My Home,1994655,N/A
Dylan (1973),A Fool Such as I,199634,1973
N/A,A Fool Such as I,199634,N/A
N/A,A Hard Rain's  A-Gonna Fall [Gaslight 1962],4848843,N/A
Live at the Gaslight 1962,A Hard Rain's  A-Gonna Fall [Gaslight 1962],4848843,2005
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",A Hard Rain's A-Gonna Fall,105186,2004
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",A Hard Rain's A-Gonna Fall,105186,2002
The Freewheelin' Bob Dylan,A Hard Rain's A-Gonna Fall,105186,1963
N/A,A Hard Rain's A-Gonna Fall,105186,N/A
Bob Dylan's Greatest Hits Vol. II ,A Hard Rain's A-Gonna Fall,105186,1971
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,A Hard Rain's A-Gonna Fall,105186,2005
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",A Hard Rain's A-Gonna Fall,105186,2010
N/A,A Satisfied Mind,199908,N/A
Saved,A Satisfied Mind,199908,1980
N/A,Abandoned Love,118651,N/A
Biograph,Abandoned Love,118651,1985
Blonde on Blonde,Absolutely Sweet Marie,105773,1966
The Bootleg Series Vol. 12: The Cutting Edge 1965-1966,Absolutely Sweet Marie,105773,2015
N/A,Absolutely Sweet Marie,105773,N/A
The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition),Absolutely Sweet Marie (Take 1),6223061,2016
N/A,Acne,1534549,N/A
The Bootleg Series Vol. 13: Trouble No More 1979-1981,Ain't Gonna Go to Hell for Anybody,3991919,2017
N/A,Ain't Gonna Grieve,201810,N/A
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",Ain't Gonna Grieve,201810,2010
The Bootleg Series Vol. 13: Trouble No More 1979-1981,"Ain't No Man Righteous, No Not One",3991920,2017
N/A,Ain't Talkin',201662,N/A
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,Ain't Talkin',201662,2008
Modern Times,Ain't Talkin',201662,2006
N/A,Alberta #1,199419,N/A
Self Portrait,Alberta #1,199419,1970
N/A,Alberta #2,199466,N/A
Self Portrait,Alberta #2,199466,1970
N/A,Alberta #3,5672711,N/A
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),Alberta #3,5672711,2013
N/A,All Along The Watchtower [At Budokan],4833152,N/A
Bob Dylan at Budokan,All Along The Watchtower [At Budokan],4833152,1979
"The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969",All Along the Watchtower,98664,2019
The Essential Bob Dylan,All Along the Watchtower,98664,2000
John Wesley Harding,All Along the Watchtower,98664,1967
N/A,All Along the Watchtower,98664,N/A
Biograph,All Along the Watchtower,98664,1985
Bob Dylan's Greatest Hits Vol. II ,All Along the Watchtower,98664,1971
N/A,All Along the Watchtower (English Final Assignment),5090709,N/A
MTV Unplugged,All Along the Watchtower [MTV Unplugged],4847071,1995
N/A,All Along the Watchtower [MTV Unplugged],4847071,N/A
N/A,All American Boy,1360613,N/A
N/A,All I Have To Do Is Dream,979424,N/A
N/A,All I Really Want To Do [At Budokan],4833170,N/A
Bob Dylan at Budokan,All I Really Want To Do [At Budokan],4833170,1979
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",All I Really Want to Do,117532,2004
Another Side of Bob Dylan,All I Really Want to Do,117532,1964
Bob Dylan's Greatest Hits Vol. II ,All I Really Want to Do,117532,1971
N/A,All I Really Want to Do,117532,N/A
N/A,All Over You,201795,N/A
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",All Over You,201795,2010
N/A,All or Nothing at All,2486639,N/A
Fallen Angels,All or Nothing at All,2486639,2016
Self Portrait,All the Tired Horses,199417,1970
N/A,All the Tired Horses,199417,N/A
