,0,1,2,3
32-20 Blues,"['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'Robert Johnson'}]","['N/A', {'Robert Johnson'}]",,
900 Miles from My Home,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
A Fool Such as I,"['Dylan (1973)', {'Bill Trader'}]","['N/A', {'Bill Trader'}]",,
A Satisfied Mind,"['N/A', {'Red Hayes', 'Jack Rhodes'}]","['Saved', {'Red Hayes', 'Jack Rhodes'}]",,
Acne,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Alberta #1,"['N/A', {'Traditional'}]","['Self Portrait', {'Traditional'}]",,
Alberta #2,"['N/A', {'Traditional'}]","['Self Portrait', {'Traditional'}]",,
Alberta #3,"['N/A', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]",,
All Along the Watchtower (English Final Assignment),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
All American Boy,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
All I Have To Do Is Dream,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
All or Nothing at All,"['N/A', {'Jack Lawrence', 'Arthur Altman'}]","['Fallen Angels', {'Jack Lawrence', 'Arthur Altman'}]",,
All the Way,"['Fallen Angels', {'Jimmy Van Heusen', 'Sammy Cahn'}]","['N/A', {'Jimmy Van Heusen', 'Sammy Cahn'}]",,
Annie's Going to Sing Her Song,"['N/A', {'Tom Paxton'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Tom Paxton'}]",,
Arthur McBride,"['Good as I Been to You', {'Traditional'}]","['N/A', {'Traditional'}]",,
As Time Goes By,"['N/A', {'Herman Hupfeld'}]","['Triplicate', {'Herman Hupfeld'}]",,
Autumn Leaves,"['N/A', {'Joseph Kosma', 'Jacques Prévert', 'Johnny Mercer'}]","['Shadows in the Night', {'Joseph Kosma', 'Jacques Prévert', 'Johnny Mercer'}]",,
Baby Ain't That Fine,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Baby Please Don't Go,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
"Baby, Let Me Follow You Down","['Bob Dylan', {'Traditional'}]","['Biograph', {'Traditional'}]","['N/A', {'Traditional'}]","['The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964', {'Traditional'}]"
"Baby, Let Me Follow You Down [Live 1966]","['The Bootleg Series Vol. 4: Bob Dylan Live 1966, The ""Royal Albert Hall"" Concert', {'Eric Von Schmidt'}]","['N/A', {'Eric Von Schmidt'}]",,
"Baby, Stop Crying","['N/A', {'Bob devito'}]","['Street-Legal', {'Bob devito'}]",,
Back Door Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Backwater blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Ballad of Donald White,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Ballad of the Gliding Swan,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Band of the Hand,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Barbara Allen,"['N/A', {'Traditional'}]","['Live at the Gaslight 1962', {'Traditional'}]",,
Belle Isle,"['Self Portrait', {'Traditional'}]","['N/A', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]",
Bells of Rhymney,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Big River,"[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Johnny Cash'}]","['N/A', {'Johnny Cash'}]",,
Big Yellow Taxi,"['Dylan (1973)', {'Joni Mitchell'}]","['N/A', {'Joni Mitchell'}]",,
Black Cross,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Blackjack Davey,"['N/A', {'Traditional Scottish Folk'}]","['Good as I Been to You', {'Traditional Scottish Folk'}]",,
Blood in My Eyes,"['N/A', {'Willie Brown'}]","['World Gone Wrong', {'Willie Brown'}]",,
Blue Moon,"['N/A', {'Lorenz Hart', 'Richard Rodgers'}]","['Self Portrait', {'Lorenz Hart', 'Richard Rodgers'}]",,
Blue Yodel No. 5,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Bob Dylan's 115th Dream (Take 2),"['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Bob Dylan's New Orleans Rag,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Bonnie Ship the Diamond,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Boogie Woogie Country Girl,"['N/A', {'Doc Pomus', 'Reginald Ashby'}]",,,
"Bound to Lose, Bound to Win","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['2010', 'The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964', ['N/A']]","['2010', 'The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964', ['N/A']]"
Bourbon Street,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Bring Me a Little Water,"['N/A', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]",,
Broke Down Engine,"['N/A', {'Blind Willie McTell'}]","['World Gone Wrong', {'Blind Willie McTell'}]",,
But Beautiful,"['Triplicate', {'Jimmy Van Heusen', 'Johnny Burke'}]","['N/A', {'Jimmy Van Heusen', 'Johnny Burke'}]",,
Can't Help Falling in Love,"['Dylan (1973)', {'Hugo Peretti', 'Luigi Creatore', 'George Weiss'}]","['N/A', {'Hugo Peretti', 'Luigi Creatore', 'George Weiss'}]",,
Canadee-I-O,"['Good as I Been to You', {'Traditional'}]","['N/A', {'Traditional'}]",,
Car Car,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Careless Love,"['N/A', {'Traditional'}]","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Traditional'}]",,
Christmas Island,"['Christmas in the Heart', {'Lyle Moraine'}]","['N/A', {'Lyle Moraine'}]",,
Cocaine,"['N/A', {'Traditional'}]","['Live at the Gaslight 1962', {'Traditional'}]",,
Cocaine Blues,"['N/A', {'T. J. Arnall'}]","['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'T. J. Arnall'}]",,
Come All Ye Fair and Tender Ladies,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Come Rain or Come Shine,"['Fallen Angels', {'Harold Arlen', 'Johnny Mercer'}]","['N/A', {'Harold Arlen', 'Johnny Mercer'}]",,
Coming From The Heart,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Confidential,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Cool Water,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Copper Kettle,"['N/A', {'Albert Frank Beddoe'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Albert Frank Beddoe'}]",,
Copper Kettle (The Pale Moonlight),"['Self Portrait', {'Albert Frank Beddoe'}]","['N/A', {'Albert Frank Beddoe'}]",,
Crawling King Snake,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
"Day In, Day Out","['Triplicate', {'Johnny Mercer', 'Rube Bloom'}]","['N/A', {'Johnny Mercer', 'Rube Bloom'}]",,
Days of 49,"['N/A', {'Alan Lomax', 'Traditional', 'Frank Warner', 'John Lomax'}]","['Self Portrait', {'Alan Lomax', 'Traditional', 'Frank Warner', 'John Lomax'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Alan Lomax', 'Traditional', 'Frank Warner', 'John Lomax'}]",
Dear Mrs. Roosevelt,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Death Don't Have No Mercy,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Delia,"['World Gone Wrong', {'Traditional'}]","['N/A', {'Traditional'}]",,
Denise,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Diamond Joe,"['Good as I Been to You', {'Traditional'}]","['N/A', {'Traditional'}]",,
Dignity (alternate version),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Dixie,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Do Re Mi,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Do You Hear What I Hear?,"['Christmas in the Heart', {'Gloria Shayne Baker', 'Noel Regney'}]","['N/A', {'Gloria Shayne Baker', 'Noel Regney'}]",,
Don't Ever Take Yourself Away,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Down on Me,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Duncan and Brady,"['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'Traditional'}]","['N/A', {'Traditional'}]",,
Dusty Old Fairgrounds,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Early Mornin' Rain,"['Self Portrait', {'Gordon Lightfoot'}]","['N/A', {'Gordon Lightfoot'}]",,
Endless Highway,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
